model_id,scenario,variant,seq_preferred_action,seq_p_action2,seq_delta_logp_action2_minus_action1,attn_to_action_tokens,attn_to_opponent_context,attn_to_payoff_tokens
PT3_COREUt,CC_continue,0,action1,0.034358658536869154,-3.3359384282053037,0.0,0.0011915997243844545,0.004766237277251024
PT3_COREUt,CC_continue,1,action1,0.034358658536869154,-3.3359384282053037,0.0,0.0011915997243844545,0.004766237277251024
PT3_COREUt,CC_continue,2,action1,0.06754651250414366,-2.625002836201572,0.0,0.0011872703639360575,0.004904156407484641
PT3_COREUt,CC_temptation,0,action1,0.07369620330553996,-2.5312509726860037,0.0,0.001049093328989469,0.004689243837044789
PT3_COREUt,CC_temptation,1,action1,0.07369620330553996,-2.5312509726860037,0.0,0.001049093328989469,0.004689243837044789
PT3_COREUt,CC_temptation,2,action1,0.10970570086937856,-2.093750747499762,0.0,0.0010185823417626894,0.004684605564062412
PT3_COREUt,CD_punished,0,action1,0.022977353626984713,-3.7500007253217906,0.0,0.0011941097103632414,0.004836671914045627
PT3_COREUt,CD_punished,1,action1,0.022977353626984713,-3.7500007253217906,0.0,0.0011941097103632414,0.004836671914045627
PT3_COREUt,CD_punished,2,action1,0.048136703817869324,-2.9843764687770578,0.0,0.0011860175201526056,0.00494574411557271
PT3_COREUt,DC_exploited,0,action1,0.12421298158235215,-1.9531252460809496,0.0,0.001219134204662763,0.00499068028651751
PT3_COREUt,DC_exploited,1,action1,0.12421298158235215,-1.9531252460809496,0.0,0.001219134204662763,0.00499068028651751
PT3_COREUt,DC_exploited,2,action1,0.0980795200671565,-2.218747777560112,0.0,0.001181369790664086,0.004857151840741818
PT3_COREUt,DD_trapped,0,action1,0.08509910592272507,-2.374999217597255,0.0,0.0012119475465554458,0.005436769185157923
PT3_COREUt,DD_trapped,1,action1,0.08509910592272507,-2.374999217597255,0.0,0.0012119475465554458,0.005436769185157923
PT3_COREUt,DD_trapped,2,action1,0.04958902820394867,-2.9531248892441755,0.0,0.0011803596638716185,0.0053022778951204745
