model_id,scenario,variant,seq_preferred_action,seq_p_action2,seq_delta_logp_action2_minus_action1,mean_component_activation
PT3_COREDe,CC_continue,0,action1,0.00021318752560873638,-8.45312516740905,7.050875150240385
PT3_COREDe,CC_continue,1,action1,0.00021318752560873638,-8.45312516740905,7.050875150240385
PT3_COREDe,CC_continue,2,action1,6.814869674116201e-05,-9.593750372372822,7.116267277644231
PT3_COREDe,CC_temptation,0,action1,0.0006771940674513605,-7.296875244685246,7.053804837740385
PT3_COREDe,CC_temptation,1,action1,0.0006771940674513605,-7.296875244685246,7.053804837740385
PT3_COREDe,CC_temptation,2,action1,0.0002287133059764361,-8.38281253824299,7.100698617788462
PT3_COREDe,CD_punished,0,action1,0.00019716943683966963,-8.531249924530012,7.073523888221154
PT3_COREDe,CD_punished,1,action1,0.00019716943683966963,-8.531249924530012,7.073523888221154
PT3_COREDe,CD_punished,2,action1,6.709227617103153e-05,-9.609374535309822,7.121243990384615
PT3_COREDe,DC_exploited,0,action1,0.00040133502267020085,-7.82031259588222,7.082575871394231
PT3_COREDe,DC_exploited,1,action1,0.00040133502267020085,-7.82031259588222,7.082575871394231
PT3_COREDe,DC_exploited,2,action1,9.31459182500149e-05,-9.281250130728965,7.1114032451923075
PT3_COREDe,DD_trapped,0,action1,0.0005571116191567072,-7.492187677790501,7.061767578125
PT3_COREDe,DD_trapped,1,action1,0.0005571116191567072,-7.492187677790501,7.061767578125
PT3_COREDe,DD_trapped,2,action1,9.535462216774199e-05,-9.257812392121828,7.1005859375
