scenario,variant,minimal_circuit,circuit_size
CC_continue,0,"[""L7_MLP"", ""L5H0"", ""L5H1"", ""L5H2"", ""L5H3"", ""L5H4"", ""L5H5"", ""L5H6"", ""L5H7"", ""L10H0""]",10
CC_continue,1,"[""L7_MLP"", ""L5H0"", ""L5H1"", ""L5H2"", ""L5H3"", ""L5H4"", ""L5H5"", ""L5H6"", ""L5H7"", ""L10H0""]",10
CC_continue,2,"[""L3_MLP"", ""L12_MLP"", ""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7""]",10
CC_temptation,0,"[""L12_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4"", ""L23H5"", ""L23H6"", ""L23H7"", ""L0_MLP""]",10
CC_temptation,1,"[""L12_MLP"", ""L23H0"", ""L23H1"", ""L23H2"", ""L23H3"", ""L23H4"", ""L23H5"", ""L23H6"", ""L23H7"", ""L0_MLP""]",10
CC_temptation,2,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L12H0"", ""L12H1""]",10
CD_punished,0,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L8H0"", ""L8H1""]",10
CD_punished,1,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L8H0"", ""L8H1""]",10
CD_punished,2,"[""L9H0"", ""L9H1"", ""L9H2"", ""L9H3"", ""L9H4"", ""L9H5"", ""L9H6"", ""L9H7"", ""L7H0"", ""L7H1""]",10
DC_exploited,0,"[""L24_MLP"", ""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7"", ""L2H0""]",10
DC_exploited,1,"[""L24_MLP"", ""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7"", ""L2H0""]",10
DC_exploited,2,"[""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7"", ""L9H0"", ""L9H1""]",10
DD_trapped,0,"[""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7"", ""L3H0"", ""L3H1""]",10
DD_trapped,1,"[""L0H0"", ""L0H1"", ""L0H2"", ""L0H3"", ""L0H4"", ""L0H5"", ""L0H6"", ""L0H7"", ""L3H0"", ""L3H1""]",10
DD_trapped,2,"[""L1H0"", ""L1H1"", ""L1H2"", ""L1H3"", ""L1H4"", ""L1H5"", ""L1H6"", ""L1H7"", ""L16H0"", ""L16H1""]",10
