position,token,L3_attention,L9_attention,difference,is_action_keyword,is_opponent_action,is_payoff
0,<bos>,0.18718719482421875,0.10792255401611328,-0.07926464080810547,False,False,False
1,<bos>,0.18898773193359375,0.10759353637695312,-0.08139419555664062,False,False,False
2,<start_of_turn>,0.002276182174682617,0.024205684661865234,0.021929502487182617,False,False,False
3,user,0.0056150928139686584,0.010500907897949219,0.00488581508398056,False,False,False
4,"
",0.029793620109558105,0.004882216453552246,-0.02491140365600586,False,False,False
5,You,0.001673176884651184,0.0006786659359931946,-0.0009945109486579895,False,False,False
6, are,0.001249946653842926,0.0003305003046989441,-0.0009194463491439819,False,False,False
7, playing,0.0025427937507629395,0.0006763115525245667,-0.0018664821982383728,False,False,False
8, a,0.0009862780570983887,0.00021448731422424316,-0.0007717907428741455,False,False,False
9, game,0.00132693350315094,0.0005666837096214294,-0.0007602497935295105,False,False,False
10, with,0.0011712908744812012,0.00032113492488861084,-0.0008501559495925903,False,False,False
11, another,0.0006696879863739014,0.0005891695618629456,-8.051842451095581e-05,False,False,False
12, agent,0.0013884156942367554,0.0007176101207733154,-0.0006708055734634399,False,False,False
13, A,0.0010594427585601807,0.0007407814264297485,-0.00031866133213043213,False,False,False
14,.,0.0018236935138702393,0.0014202892780303955,-0.00040340423583984375,False,False,False
15, You,0.0010049939155578613,0.0010020732879638672,-2.9206275939941406e-06,False,False,False
16, must,0.0010724738240242004,0.0008115768432617188,-0.0002608969807624817,False,False,False
17, choose,0.0018712058663368225,0.0012530311942100525,-0.00061817467212677,False,False,False
18, either,0.0005744397640228271,0.0009312927722930908,0.00035685300827026367,False,False,False
19, action,0.0008544772863388062,0.0014526546001434326,0.0005981773138046265,False,False,False
20, action,0.0010006129741668701,0.0005486756563186646,-0.00045193731784820557,False,False,False
21,2,0.0013466477394104004,0.0012966841459274292,-4.996359348297119e-05,False,False,False
22, or,0.00040666013956069946,0.0023654624819755554,0.001958802342414856,False,False,False
23, action,0.00021292269229888916,0.00026454031467437744,5.161762237548828e-05,False,False,False
24, action,0.00017733126878738403,0.0004587695002555847,0.0002814382314682007,False,False,False
25,1,0.0004648268222808838,0.001818820834159851,0.0013539940118789673,False,False,False
26,.,0.0023773014545440674,0.004458189010620117,0.00208088755607605,False,False,False
27, Depending,0.001578986644744873,0.0008141547441482544,-0.0007648319005966187,False,False,False
28, on,0.0009451061487197876,0.00019391626119613647,-0.0007511898875236511,False,False,False
29, your,0.0010130852460861206,0.0010128021240234375,-2.8312206268310547e-07,False,False,False
30, action,0.000321805477142334,0.001019500195980072,0.000697694718837738,False,False,False
31, and,0.0003460124135017395,0.0007676407694816589,0.00042162835597991943,False,False,False
32, A,0.0001674741506576538,0.001030072569847107,0.0008625984191894531,False,False,False
33,',0.0003332868218421936,0.0006294623017311096,0.000296175479888916,False,False,False
34,s,0.000216558575630188,0.00022871792316436768,1.2159347534179688e-05,False,False,False
35, action,0.00022684037685394287,0.00043295323848724365,0.00020611286163330078,False,False,False
36,",",0.00047390908002853394,0.0010162442922592163,0.0005423352122306824,False,False,False
37, you,0.00024284422397613525,0.0017615556716918945,0.0015187114477157593,False,False,False
38, each,0.0005592256784439087,0.0020824596285820007,0.001523233950138092,False,False,False
39, get,0.00048264116048812866,0.0005666539072990417,8.401274681091309e-05,False,False,True
40, a,0.0003916919231414795,0.0002491995692253113,-0.0001424923539161682,False,False,False
41, certain,0.00042525678873062134,0.0006057620048522949,0.00018050521612167358,False,False,False
42, number,0.0005004405975341797,0.0007058829069137573,0.00020544230937957764,False,False,False
43, of,0.0003596842288970947,0.00016205757856369019,-0.00019762665033340454,False,False,False
44, points,0.0005604252219200134,0.000996708869934082,0.0004362836480140686,False,False,True
45,.,0.0018797963857650757,0.0012459605932235718,-0.0006338357925415039,False,False,False
46, The,0.0020311325788497925,0.001975417137145996,-5.571544170379639e-05,False,False,False
47, points,0.000559493899345398,9.860843420028687e-05,-0.0004608854651451111,False,False,True
48, are,0.00022521615028381348,5.469471216201782e-05,-0.00017052143812179565,False,False,False
49, awarded,0.0005039498209953308,0.00018821656703948975,-0.00031573325395584106,False,False,False
50, as,0.00019282102584838867,3.187358379364014e-05,-0.00016094744205474854,False,False,False
51, follows,0.0009048283100128174,0.0003650486469268799,-0.0005397796630859375,False,False,False
52, (,0.0005609318614006042,0.00028667598962783813,-0.0002742558717727661,False,False,False
53,you,0.0008570924401283264,0.0008161962032318115,-4.089623689651489e-05,False,False,False
54, are,0.0004290267825126648,0.0002966150641441345,-0.00013241171836853027,False,False,False
55, the,0.0003046989440917969,0.00039158761501312256,8.688867092132568e-05,False,False,False
56, row,0.001265004277229309,0.002977997064590454,0.001712992787361145,False,False,False
57, player,0.00020118802785873413,0.00276947021484375,0.002568282186985016,False,False,False
58,",",0.00013355910778045654,0.00069446861743927,0.0005609095096588135,False,False,False
59, A,0.00013062357902526855,0.0014797896146774292,0.0013491660356521606,False,False,False
60, is,0.0001382380723953247,0.00022692978382110596,8.869171142578125e-05,False,False,False
61, the,0.00020854175090789795,5.936622619628906e-05,-0.0001491755247116089,False,False,False
62, column,0.0008427202701568604,0.0013469457626342773,0.000504225492477417,False,False,False
63, player,0.00014787167310714722,0.0011239051818847656,0.0009760335087776184,False,False,False
64,):,0.0014346614480018616,0.005322396755218506,0.0038877353072166443,False,False,False
65,"

",0.008756399154663086,0.001928478479385376,-0.00682792067527771,False,False,False
66,            ,0.0020707398653030396,0.000655151903629303,-0.0014155879616737366,False,False,False
67,|,0.0009169802069664001,0.00047966092824935913,-0.000437319278717041,False,False,False
68,         ,0.0004816576838493347,0.0001955181360244751,-0.0002861395478248596,False,False,False
69,|,0.00022254139184951782,0.0007023587822914124,0.00047981739044189453,False,False,False
70,  ,0.0001881048083305359,0.00018478929996490479,-3.3155083656311035e-06,False,False,False
