position,token,L3_attention,L9_attention,difference,is_action_keyword,is_opponent_action,is_payoff
0,<bos>,0.1872406005859375,0.10955238342285156,-0.07768821716308594,False,False,False
1,<bos>,0.18890380859375,0.10911750793457031,-0.07978630065917969,False,False,False
2,<start_of_turn>,0.0023426413536071777,0.024630069732666016,0.022287428379058838,False,False,False
3,user,0.006023101508617401,0.010646343231201172,0.004623241722583771,False,False,False
4,"
",0.030359625816345215,0.004827618598937988,-0.025532007217407227,False,False,False
5,You,0.0017536655068397522,0.0006888285279273987,-0.0010648369789123535,False,False,False
6, are,0.0012948215007781982,0.000334911048412323,-0.0009599104523658752,False,False,False
7, playing,0.0026108622550964355,0.0007305294275283813,-0.0018803328275680542,False,False,False
8, a,0.0010046586394309998,0.00022658705711364746,-0.0007780715823173523,False,False,False
9, game,0.001399397850036621,0.0005676597356796265,-0.0008317381143569946,False,False,False
10, with,0.001199096441268921,0.00035144388675689697,-0.0008476525545120239,False,False,False
11, another,0.0006930679082870483,0.0006742998957633972,-1.8768012523651123e-05,False,False,False
12, agent,0.0014511644840240479,0.0007446110248565674,-0.0007065534591674805,False,False,False
13, A,0.0011057853698730469,0.0007266998291015625,-0.0003790855407714844,False,False,False
14,.,0.0018164962530136108,0.0015999078750610352,-0.00021658837795257568,False,False,False
15, You,0.001058138906955719,0.001072213053703308,1.4074146747589111e-05,False,False,False
16, must,0.0011031851172447205,0.000914357602596283,-0.0001888275146484375,False,False,False
17, choose,0.0019362792372703552,0.0014814436435699463,-0.00045483559370040894,False,False,False
18, either,0.0005994290113449097,0.0010991692543029785,0.0004997402429580688,False,False,False
19, action,0.0008665844798088074,0.0017013251781463623,0.0008347406983375549,False,False,False
20, action,0.0010435283184051514,0.0005426108837127686,-0.0005009174346923828,False,False,False
21,2,0.0013499855995178223,0.001251325011253357,-9.866058826446533e-05,False,False,False
22, or,0.0004203394055366516,0.0028764456510543823,0.0024561062455177307,False,False,False
23, action,0.00021916627883911133,0.0003697797656059265,0.00015061348676681519,False,False,False
24, action,0.00018540024757385254,0.0004556402564048767,0.00027024000883102417,False,False,False
25,1,0.0004666149616241455,0.002071589231491089,0.0016049742698669434,False,False,False
26,.,0.0023867785930633545,0.0048972368240356445,0.00251045823097229,False,False,False
27, Depending,0.0016299188137054443,0.000921100378036499,-0.0007088184356689453,False,False,False
28, on,0.0009667575359344482,0.00024502724409103394,-0.0007217302918434143,False,False,False
29, your,0.0010082796216011047,0.0011686161160469055,0.00016033649444580078,False,False,False
30, action,0.0003179982304573059,0.0012219175696372986,0.0009039193391799927,False,False,False
31, and,0.0003473907709121704,0.0009957998991012573,0.0006484091281890869,False,False,False
32, A,0.00016867369413375854,0.0011736899614334106,0.001005016267299652,False,False,False
33,',0.00034040212631225586,0.0007123947143554688,0.0003719925880432129,False,False,False
34,s,0.00021761655807495117,0.00027095526456832886,5.3338706493377686e-05,False,False,False
35, action,0.00021819770336151123,0.0005248710513114929,0.0003066733479499817,False,False,False
36,",",0.0004794970154762268,0.0013039559125900269,0.0008244588971138,False,False,False
37, you,0.0002448931336402893,0.0020541250705718994,0.00180923193693161,False,False,False
38, each,0.0005708634853363037,0.002798520028591156,0.0022276565432548523,False,False,False
39, get,0.000491410493850708,0.00069427490234375,0.000202864408493042,False,False,True
40, a,0.0004042387008666992,0.00032764673233032227,-7.659196853637695e-05,False,False,False
41, certain,0.0004391297698020935,0.000772133469581604,0.0003330036997795105,False,False,False
42, number,0.0005197897553443909,0.0007907897233963013,0.0002709999680519104,False,False,False
43, of,0.00036753714084625244,0.00020188838243484497,-0.00016564875841140747,False,False,False
44, points,0.0005857422947883606,0.0010805130004882812,0.0004947707056999207,False,False,True
45,.,0.0019009709358215332,0.0013663768768310547,-0.0005345940589904785,False,False,False
46, The,0.0020734965801239014,0.0022716224193573,0.00019812583923339844,False,False,False
47, points,0.0005742311477661133,0.00010699033737182617,-0.0004672408103942871,False,False,True
48, are,0.00023009628057479858,5.8323144912719727e-05,-0.00017177313566207886,False,False,False
49, awarded,0.0005187541246414185,0.00021389871835708618,-0.0003048554062843323,False,False,False
50, as,0.00019741803407669067,3.5881996154785156e-05,-0.00016153603792190552,False,False,False
51, follows,0.0009400844573974609,0.0003786236047744751,-0.0005614608526229858,False,False,False
52, (,0.0005780458450317383,0.000299796462059021,-0.0002782493829727173,False,False,False
53,you,0.0008684396743774414,0.0008465051651000977,-2.193450927734375e-05,False,False,False
54, are,0.0004356503486633301,0.00030316412448883057,-0.0001324862241744995,False,False,False
55, the,0.0003086477518081665,0.00041975826025009155,0.00011111050844192505,False,False,False
56, row,0.0012993291020393372,0.003512740135192871,0.002213411033153534,False,False,False
57, player,0.00020519644021987915,0.003352522850036621,0.003147326409816742,False,False,False
58,",",0.00013500452041625977,0.0008111819624900818,0.000676177442073822,False,False,False
59, A,0.0001324489712715149,0.0017126500606536865,0.0015802010893821716,False,False,False
60, is,0.00013911724090576172,0.0002679005265235901,0.00012878328561782837,False,False,False
61, the,0.00020854920148849487,7.012486457824707e-05,-0.0001384243369102478,False,False,False
62, column,0.0008564814925193787,0.0015439391136169434,0.0006874576210975647,False,False,False
63, player,0.0001443922519683838,0.0013973116874694824,0.0012529194355010986,False,False,False
